source,target,relationship
DL015,INV001,PURCHASED_BY
DL015,INV008,PURCHASED_BY
DL015,INV010,PURCHASED_BY
ISS009,DL016,ISSUED
DL016,BNK007,ARRANGED_BY
DL016,INV009,PURCHASED_BY
DL016,INV013,PURCHASED_BY
DL016,INV007,PURCHASED_BY
DL016,INV003,PURCHASED_BY
ISS010,DL017,ISSUED
DL017,BNK011,ARRANGED_BY
DL017,INV001,PURCHASED_BY
DL017,INV015,PURCHASED_BY
DL017,INV007,PURCHASED_BY
DL017,INV006,PURCHASED_BY
ISS011,DL018,ISSUED
DL018,BNK002,ARRANGED_BY
DL018,INV005,PURCHASED_BY
DL018,INV010,PURCHASED_BY
DL018,INV003,PURCHASED_BY
ISS011,DL019,ISSUED
DL019,BNK003,ARRANGED_BY
DL019,INV002,PURCHASED_BY
DL019,INV003,PURCHASED_BY
ISS012,DL020,ISSUED
DL020,BNK005,ARRANGED_BY
DL020,INV008,PURCHASED_BY
DL020,INV004,PURCHASED_BY
DL020,INV002,PURCHASED_BY
ISS012,DL021,ISSUED
DL021,BNK014,ARRANGED_BY
DL021,INV004,PURCHASED_BY
DL021,INV006,PURCHASED_BY
DL021,INV015,PURCHASED_BY
ISS013,DL022,ISSUED
DL022,BNK014,ARRANGED_BY
DL022,INV002,PURCHASED_BY
DL022,INV009,PURCHASED_BY
DL022,INV003,PURCHASED_BY
ISS013,DL023,ISSUED
DL023,BNK012,ARRANGED_BY
DL023,INV001,PURCHASED_BY
DL023,INV012,PURCHASED_BY
DL023,INV004,PURCHASED_BY
ISS014,DL024,ISSUED
DL024,BNK001,ARRANGED_BY
DL024,INV010,PURCHASED_BY
DL024,INV013,PURCHASED_BY
ISS014,DL025,ISSUED
DL025,BNK007,ARRANGED_BY
DL025,INV005,PURCHASED_BY
DL025,INV002,PURCHASED_BY
DL025,INV015,PURCHASED_BY
DL025,INV010,PURCHASED_BY
ISS015,DL026,ISSUED
DL026,BNK001,ARRANGED_BY
DL026,INV004,PURCHASED_BY
DL026,INV015,PURCHASED_BY
DL026,INV003,PURCHASED_BY
DL026,INV009,PURCHASED_BY
ISS016,DL027,ISSUED
DL027,BNK013,ARRANGED_BY
DL027,INV014,PURCHASED_BY
DL027,INV006,PURCHASED_BY
ISS017,DL028,ISSUED
DL028,BNK007,ARRANGED_BY
DL028,INV010,PURCHASED_BY
DL028,INV001,PURCHASED_BY
DL028,INV004,PURCHASED_BY
ISS018,DL029,ISSUED
DL029,BNK002,ARRANGED_BY
DL029,INV012,PURCHASED_BY
DL029,INV006,PURCHASED_BY
DL029,INV009,PURCHASED_BY
DL029,INV013,PURCHASED_BY
ISS019,DL030,ISSUED
DL030,BNK009,ARRANGED_BY
DL030,INV011,PURCHASED_BY
DL030,INV015,PURCHASED_BY
DL030,INV003,PURCHASED_BY
ISS019,DL031,ISSUED
DL031,BNK015,ARRANGED_BY
DL031,INV011,PURCHASED_BY
DL031,INV010,PURCHASED_BY
DL031,INV003,PURCHASED_BY
ISS020,DL032,ISSUED
DL032,BNK008,ARRANGED_BY
DL032,INV014,PURCHASED_BY
DL032,INV002,PURCHASED_BY
ISS020,DL033,ISSUED
DL033,BNK013,ARRANGED_BY
DL033,INV013,PURCHASED_BY
DL033,INV003,PURCHASED_BY
DL033,INV014,PURCHASED_BY
ISS021,DL034,ISSUED
DL034,BNK008,ARRANGED_BY
DL034,INV006,PURCHASED_BY
DL034,INV011,PURCHASED_BY
ISS022,DL035,ISSUED
DL035,BNK007,ARRANGED_BY
DL035,INV015,PURCHASED_BY
DL035,INV009,PURCHASED_BY
DL035,INV006,PURCHASED_BY
DL035,INV007,PURCHASED_BY
ISS022,DL036,ISSUED
DL036,BNK003,ARRANGED_BY
DL036,INV007,PURCHASED_BY
DL036,INV010,PURCHASED_BY
DL036,INV011,PURCHASED_BY
DL036,INV002,PURCHASED_BY
ISS023,DL037,ISSUED
DL037,BNK004,ARRANGED_BY
DL037,INV005,PURCHASED_BY
DL037,INV009,PURCHASED_BY
DL037,INV004,PURCHASED_BY
DL037,INV008,PURCHASED_BY
ISS024,DL038,ISSUED
DL038,BNK004,ARRANGED_BY
DL038,INV011,PURCHASED_BY
DL038,INV005,PURCHASED_BY
DL038,INV003,PURCHASED_BY
ISS025,DL039,ISSUED
DL039,BNK014,ARRANGED_BY
DL039,INV007,PURCHASED_BY
DL039,INV010,PURCHASED_BY
DL039,INV001,PURCHASED_BY
BNK014,ISS001,COVERS
BNK004,ISS002,COVERS
BNK002,ISS003,COVERS
BNK004,ISS004,COVERS
BNK007,ISS005,COVERS
BNK008,ISS006,COVERS
BNK003,ISS007,COVERS
BNK012,ISS008,COVERS
BNK015,ISS009,COVERS
BNK007,ISS010,COVERS
BNK013,ISS011,COVERS
BNK015,ISS012,COVERS
BNK013,ISS013,COVERS
BNK008,ISS014,COVERS
BNK015,ISS015,COVERS
BNK006,ISS016,COVERS
BNK010,ISS017,COVERS
BNK001,ISS018,COVERS
BNK012,ISS019,COVERS
BNK011,ISS020,COVERS
BNK004,ISS021,COVERS
BNK014,ISS022,COVERS
BNK006,ISS023,COVERS
BNK009,ISS024,COVERS
BNK008,ISS025,COVERS
ISS001,ISS005,PEER
ISS001,ISS002,PEER
ISS002,ISS001,PEER
ISS002,ISS020,PEER
ISS003,ISS014,PEER
ISS003,ISS012,PEER
ISS004,ISS014,PEER
ISS004,ISS010,PEER
ISS005,ISS021,PEER
ISS005,ISS019,PEER
ISS006,ISS014,PEER
ISS006,ISS018,PEER
ISS007,ISS025,PEER
ISS007,ISS024,PEER
ISS008,ISS016,PEER
ISS008,ISS023,PEER
ISS009,ISS001,PEER
ISS009,ISS023,PEER
ISS010,ISS020,PEER
ISS010,ISS014,PEER
ISS011,ISS005,PEER
ISS011,ISS007,PEER
ISS012,ISS008,PEER
ISS012,ISS003,PEER
ISS013,ISS001,PEER
ISS013,ISS016,PEER
ISS014,ISS006,PEER
ISS014,ISS023,PEER
ISS015,ISS017,PEER
ISS015,ISS007,PEER
ISS016,ISS014,PEER
ISS016,ISS008,PEER
ISS017,ISS025,PEER
ISS017,ISS010,PEER
ISS018,ISS015,PEER
ISS018,ISS021,PEER
ISS019,ISS011,PEER
ISS019,ISS024,PEER
ISS020,ISS012,PEER
ISS020,ISS008,PEER
ISS021,ISS015,PEER
ISS021,ISS017,PEER
ISS022,ISS006,PEER
ISS022,ISS007,PEER
ISS023,ISS006,PEER
ISS023,ISS021,PEER
ISS024,ISS011,PEER
ISS024,ISS013,PEER
ISS025,ISS005,PEER
ISS025,ISS007,PEER
