id,name,type,sector,country,rating,ticker,description
DL014,Nestlé SA Sustainability Bond 2027,deal,,,,,Debt Capital Market Deal
DL015,Unilever PLC Green Bond 2030,deal,,,,,Debt Capital Market Deal
DL016,Unilever PLC Eurobond 2030,deal,,,,,Debt Capital Market Deal
DL017,Novartis AG Green Bond 2032,deal,,,,,Debt Capital Market Deal
DL018,Roche Holding Sustainability Bond 2028,deal,,,,,Debt Capital Market Deal
DL019,Roche Holding Sustainability Bond 2030,deal,,,,,Debt Capital Market Deal
DL020,Enel SpA Senior Notes 2028,deal,,,,,Debt Capital Market Deal
DL021,Enel SpA Eurobond 2031,deal,,,,,Debt Capital Market Deal
DL022,Iberdrola Convertible Bond 2031,deal,,,,,Debt Capital Market Deal
DL023,Iberdrola Sustainability Bond 2027,deal,,,,,Debt Capital Market Deal
DL024,TotalEnergies Sustainability Bond 2029,deal,,,,,Debt Capital Market Deal
DL025,TotalEnergies Green Bond 2031,deal,,,,,Debt Capital Market Deal
DL026,Safran SA Convertible Bond 2027,deal,,,,,Debt Capital Market Deal
DL027,Thales Group Sustainability Bond 2030,deal,,,,,Debt Capital Market Deal
DL028,Rio Tinto Eurobond 2028,deal,,,,,Debt Capital Market Deal
DL029,Glencore Green Bond 2030,deal,,,,,Debt Capital Market Deal
DL030,ING Group Eurobond 2031,deal,,,,,Debt Capital Market Deal
DL031,ING Group Convertible Bond 2027,deal,,,,,Debt Capital Market Deal
DL032,Santander Senior Notes 2030,deal,,,,,Debt Capital Market Deal
DL033,Santander Green Bond 2032,deal,,,,,Debt Capital Market Deal
DL034,Deutsche Telekom Convertible Bond 2031,deal,,,,,Debt Capital Market Deal
DL035,Vodafone Sustainability Bond 2027,deal,,,,,Debt Capital Market Deal
DL036,Vodafone Senior Notes 2031,deal,,,,,Debt Capital Market Deal
DL037,L'Oréal Senior Notes 2027,deal,,,,,Debt Capital Market Deal
DL038,ASML Holding Convertible Bond 2029,deal,,,,,Debt Capital Market Deal
DL039,SAP SE Eurobond 2027,deal,,,,,Debt Capital Market Deal
